"TOA5","CR1000","CR1000","51714","CR1000.Std.32.03","CPU:experimento 03.CR1","11108","Exp03"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","Rs_Avg","PT100_Avg","termopar_Avg"
"TS","RN","","","","",""
"","","Min","Smp","Avg","Avg","Avg"
"2024-08-07 07:50:00",0,12.47,22.31,108.2,21.35,21.85
"2024-08-07 07:51:00",1,12.47,22.31,108.2,21.4,21.89
"2024-08-07 07:52:00",2,12.48,22.31,108.1,21.15,21.89
"2024-08-07 07:53:00",3,12.47,22.31,108.5,21.97,21.86
"2024-08-07 07:54:00",4,12.38,22.31,108.4,21.76,21.87
"2024-08-07 07:55:00",5,12.3,22.31,108.4,21.7,21.84
"2024-08-07 07:56:00",6,12.28,22.31,108.4,21.7,21.85
"2024-08-07 07:57:00",7,12.47,22.33,108.2,21.31,21.86
"2024-08-07 07:58:00",8,12.29,22.33,108.3,21.54,21.87
"2024-08-07 08:25:00",0,12.24,22.36,100.1,0.382,0.113
"2024-08-07 08:26:00",1,12.24,22.36,100.1,0.37,0.098
"2024-08-07 08:27:00",2,12.26,22.33,100.2,0.395,0.084
"2024-08-07 08:30:00",0,12.24,22.33,100,-0.01,0.078
"2024-08-07 08:31:00",1,12.24,22.33,100,0.019,0.089
"2024-08-07 08:32:00",2,12.24,22.33,100,0.043,0.094
"2024-08-07 08:33:00",3,12.26,22.33,100,0.049,0.091
"2024-08-07 08:34:00",4,12.25,22.33,100,0.077,0.094
"2024-08-07 08:35:00",5,12.25,22.36,100,0.069,0.123
"2024-08-07 08:36:00",6,12.26,22.36,100,0.09,0.142
"2024-08-07 08:37:00",7,12.25,22.36,100,0.121,0.148
"2024-08-07 08:38:00",8,12.25,22.36,100.1,0.143,0.159
"2024-08-07 08:39:00",9,12.26,22.36,100.1,0.147,0.167
"2024-08-07 08:40:00",10,12.25,22.36,100.1,0.174,0.179
"2024-08-07 08:41:00",11,12.25,22.36,100.1,0.199,0.214
"2024-08-07 08:42:00",12,12.24,22.39,100.1,0.226,0.266
"2024-08-07 08:43:00",13,12.25,22.39,100.1,0.266,0.303
"2024-08-07 08:44:00",14,12.25,22.39,100.1,0.273,0.344
"2024-08-07 08:45:00",15,12.25,22.39,100.1,0.295,0.388
"2024-08-07 08:46:00",16,12.25,22.39,100.1,0.346,0.483
"2024-08-07 08:47:00",17,12.25,22.42,103.3,8.54,7.006
"2024-08-07 08:48:00",18,12.25,22.42,105.5,14.25,12.97
"2024-08-07 08:49:00",19,12.25,22.42,104.9,12.66,13.23
"2024-08-07 08:50:00",20,12.26,22.45,104.4,11.37,13.32
"2024-08-07 08:51:00",21,12.25,22.45,104.6,12,14.3
"2024-08-07 08:52:00",22,12.25,22.45,105,13.03,14.08
"2024-08-07 08:53:00",23,12.25,22.45,105.3,13.67,14.35
"2024-08-07 08:54:00",24,12.25,22.47,105.3,13.83,14.37
"2024-08-07 08:55:00",25,12.26,22.47,105.3,13.78,14.4
"2024-08-07 08:56:00",26,12.25,22.47,105.3,13.76,14.39
"2024-08-07 08:57:00",27,12.26,22.47,105.3,13.79,14.41
"2024-08-07 08:58:00",28,12.25,22.47,105.3,13.82,14.42
"2024-08-07 08:59:00",29,12.26,22.47,105.3,13.86,14.43
"2024-08-07 09:00:00",30,12.25,22.5,105.3,13.89,14.46
"2024-08-07 09:01:00",31,12.24,22.5,105.4,13.94,14.49
"2024-08-07 09:02:00",32,12.25,22.5,105.4,13.96,14.5
"2024-08-07 09:03:00",33,12.26,22.5,105.4,13.99,14.51
"2024-08-07 09:04:00",34,12.25,22.5,105.4,14.02,14.53
"2024-08-07 09:05:00",35,12.25,22.53,105.4,14.04,14.55
"2024-08-07 09:06:00",36,12.25,22.53,105.4,14.05,14.58
"2024-08-07 09:07:00",37,12.25,22.53,105.4,14.08,14.6
"2024-08-07 09:08:00",38,12.25,22.56,105.4,14.14,14.7
"2024-08-07 09:09:00",39,12.25,22.56,108.5,22.05,23.02
"2024-08-07 09:10:00",40,12.25,22.56,109.6,24.91,24.43
"2024-08-07 09:11:00",41,12.24,22.59,109.4,24.49,24.83
"2024-08-07 09:12:00",42,12.26,22.61,109.5,24.74,25.11
"2024-08-07 09:13:00",43,12.25,22.61,109.6,24.97,25.36
"2024-08-07 09:14:00",44,12.25,22.61,109.7,25.17,25.55
"2024-08-07 09:15:00",45,12.25,22.61,109.7,25.32,25.7
"2024-08-07 09:16:00",46,12.25,22.64,109.8,25.4,25.82
"2024-08-07 09:17:00",47,12.25,22.64,109.8,25.45,25.9
"2024-08-07 09:18:00",48,12.25,22.64,109.8,25.52,25.97
"2024-08-07 09:19:00",49,12.25,22.67,109.8,25.55,26
"2024-08-07 09:20:00",50,12.24,22.67,109.8,25.56,26.05
"2024-08-07 09:21:00",51,12.25,22.67,109.8,25.56,26.07
"2024-08-07 09:22:00",52,12.25,22.67,109.8,25.55,26.07
"2024-08-07 09:23:00",53,12.25,22.67,109.8,25.55,26.07
"2024-08-07 09:24:00",54,12.24,22.67,109.8,25.56,26.07
"2024-08-07 09:25:00",55,12.24,22.7,109.8,25.55,26.06
"2024-08-07 09:26:00",56,12.26,22.7,109.8,25.55,26.07
"2024-08-07 09:27:00",57,12.25,22.7,109.8,25.54,26.06
"2024-08-07 09:28:00",58,12.25,22.7,109.8,25.53,26.04
"2024-08-07 09:29:00",59,12.24,22.7,109.8,25.51,26.02
"2024-08-07 09:30:00",60,12.25,22.73,109.8,25.5,26.03
"2024-08-07 09:31:00",61,12.25,22.73,109.8,25.48,26.01
"2024-08-07 09:32:00",62,12.24,22.73,109.8,25.46,25.99
"2024-08-07 09:33:00",63,12.25,22.73,109.8,25.45,25.97
"2024-08-07 09:34:00",64,12.25,22.75,109.8,25.44,25.96
"2024-08-07 09:35:00",65,12.24,22.75,109.8,25.43,25.95
"2024-08-07 09:36:00",66,12.24,22.75,109.8,25.41,25.93
"2024-08-07 09:37:00",67,12.24,22.78,109.8,25.39,25.92
"2024-08-07 09:38:00",68,12.24,22.78,109.8,25.39,25.91
"2024-08-07 09:39:00",69,12.24,22.78,109.8,25.39,25.88
"2024-08-07 09:40:00",70,12.24,22.81,109.8,25.37,25.86
"2024-08-07 09:41:00",71,12.24,22.81,109.8,25.35,25.85
"2024-08-07 09:42:00",72,12.24,22.81,109.8,25.34,25.83
"2024-08-07 09:43:00",73,12.24,22.87,109.7,25.32,25.84
"2024-08-07 09:44:00",74,12.24,22.87,109.7,25.31,25.84
"2024-08-07 09:45:00",75,12.24,22.87,109.7,25.3,25.81
