"TOA5","Cal_Pluv","CR1000","63522","CR1000.Std.32.03","CPU:EnsaioIR_4pluv.CR1","59817","Basculada"
"TIMESTAMP","RECORD","c","vazao","deltaT","massaT","IRm","IRr","IRrmed"
"TS","RN","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-06-14 10:09:50.02",0,0,"NAN",546.6509,4446.7,2.700078,"NAN","NAN"
"2023-06-14 10:10:09.04",1,1,"NAN",19.02024,6277.4,77.60152,"NAN","NAN"
"2023-06-14 10:10:12",2,2,2.299805,2.959998,6280,498.649,517.6719,517.6719
"2023-06-14 10:10:16.12",3,3,0.800293,4.119997,6284.1,358.2527,180.1411,240.0965
"2023-06-14 10:10:20.88",4,4,1.300293,4.759996,6289.7,310.0843,292.688,270.1126
"2023-06-14 10:10:25.68",5,5,0.7001953,4.799996,6295,307.5002,157.6097,259.6053
"2023-06-14 10:10:30.54",6,6,1.800293,4.859996,6302.6,303.7039,405.2349,280.2408
"2023-06-14 10:10:35.66",7,7,0.5,5.119996,6306.4,288.2815,112.5469,258.4051
"2023-06-14 10:10:40.42",8,8,2.299805,4.759996,6313.9,310.0843,517.6719,271.6111
"2023-06-14 10:10:45.28",9,9,0.5,4.859996,6318.8,303.7039,112.5469,264.322
"2023-06-14 10:10:50.18",10,10,2,4.899996,6325.8,301.2247,450.1877,270.6732
"2023-06-14 10:10:55",11,11,1.299805,4.819996,6330.5,306.2243,292.5781,270.1116
"2023-06-14 10:10:59.9",12,12,0.5,4.899996,6335.7,301.2247,112.5469,266.4377
"2023-06-14 10:11:04.58",13,13,1.800293,4.679996,6342.6,315.3849,405.2349,270.5291
"2023-06-14 10:11:09.4",14,14,0.2001953,4.819996,6347.7,306.2243,45.06274,267.0605
"2023-06-14 10:11:14.26",15,15,0.8999023,4.859996,6353.1,303.7039,202.5625,264.8608
"2023-06-14 10:11:18.94",16,16,1.300293,4.679996,6359.2,315.3849,292.688,271.2392
"2023-06-14 10:11:23.76",17,17,1.300293,4.819996,6363.7,306.2243,292.688,266.3611
"2023-06-14 10:11:28.38",18,18,1.199707,4.619997,6370.4,319.4807,270.0467,264.4853
"2023-06-14 10:11:34.46",19,19,1.100098,6.079995,6376.2,242.7634,247.6252,263.7361
"2023-06-14 10:11:38.7",20,20,1.400391,4.239997,6381.7,348.1135,315.2194,265.6119
"2023-06-14 10:11:44.96",21,21,1.100098,6.259995,6387.6,235.7829,247.6252,259.9845
"2023-06-14 10:11:48.4",22,22,1.300293,3.439997,6393.1,429.0701,292.688,262.6095
"2023-06-14 10:11:53.56",23,23,1.199707,5.119996,6398.3,288.2815,270.0467,259.2316
"2023-06-14 10:11:58.1",24,24,0.9003906,4.539997,6405.2,325.1104,202.6724,262.6095
"2023-06-14 10:12:02.98",25,25,0.8999023,4.879996,6409.6,302.4593,202.5625,259.9845
"2023-06-14 10:12:08.2",26,26,0.7998047,5.219996,6418,282.7589,180.0311,264.4853
"2023-06-14 10:12:12.96",27,27,1,4.759996,6422.6,310.0843,225.0939,267.8614
"2023-06-14 10:12:17.82",28,28,1.299805,4.859996,6428.8,303.7039,292.5781,265.9856
"2023-06-14 10:12:26.28",29,29,0.9003906,8.440003,6437.7,174.8814,202.6724,262.985
"2023-06-14 10:12:30.14",30,30,1.099609,3.859997,6443.8,382.3837,247.5153,269.7371
"2023-06-14 10:12:33",31,31,0.2998047,2.859998,6445.5,516.0843,67.4842,268.9879
"2023-06-14 10:12:38.08",32,32,0.8999023,5.079996,6453.3,290.5514,202.5625,268.6105
"2023-06-14 10:12:42.94",33,33,0.9003906,4.859996,6456.7,303.7039,202.6724,268.2369
"2023-06-14 10:12:47.58",34,34,1.600098,4.639997,6464.2,318.1037,360.1722,271.6147
"2023-06-14 10:12:52.48",35,35,0.800293,4.899996,6469.2,301.2247,180.1411,270.4882
"2023-06-14 10:12:57.84",36,36,0.5,5.359996,6475.1,275.3734,112.5469,265.6119
"2023-06-14 10:13:02.86",37,37,1.600098,5.019996,6481.7,294.0241,360.1722,270.4882
"2023-06-14 10:13:07.66",38,38,0.5,4.799996,6488.1,307.5002,112.5469,265.9855
"2023-06-14 10:13:12.58",39,39,1.800293,4.919996,6493.6,300.0002,405.2349,266.3611
"2023-06-14 10:13:17",40,40,2.600098,4.419997,6498.7,333.9369,585.2661,267.1121
"2023-06-14 10:13:22.68",41,41,2.5,5.679996,6504.8,259.8593,562.7347,270.4863
"2023-06-14 10:13:27.18",42,42,0.2001953,4.499997,6511,328.0002,45.06274,268.6124
"2023-06-14 10:13:31.78",43,43,0.2001953,4.599997,6514.5,320.8698,45.06274,259.9827
"2023-06-14 10:13:37.92",44,44,0.2998047,6.139995,6522.8,240.3911,67.4842,264.1098
"2023-06-14 10:13:42.68",45,45,2.099609,4.759996,6529.8,310.0843,472.6092,274.2379
"2023-06-14 10:13:47.18",46,46,0.2001953,4.499997,6534.6,328.0002,45.06274,264.1098
"2023-06-14 10:13:52.46",47,47,2.600098,5.279996,6541.5,279.5457,585.2661,271.2374
"2023-06-14 10:13:57.5",48,48,0.2001953,5.039996,6546.2,292.8574,45.06274,266.7366
"2023-06-14 10:14:01.98",49,49,0.2001953,4.479997,6551.1,329.4645,45.06274,266.3611
"2023-06-14 10:14:07.42",50,50,0.2001953,5.439996,6558.6,271.3237,45.06274,264.4853
"2023-06-14 10:14:11.98",51,51,1.199707,4.559997,6562.8,323.6844,270.0467,266.3611
"2023-06-14 10:14:18.1",52,52,0.699707,6.119995,6571.3,241.1767,157.4998,265.2345
"2023-06-14 10:14:22.72",53,53,0.199707,4.619997,6575.8,319.4807,44.95283,266.3611
"2023-06-14 10:14:27.42",54,54,2.200195,4.699996,6582.5,314.0428,495.2505,268.2369
"2023-06-14 10:14:32.66",55,55,0.5,5.219996,6587.6,282.7589,112.5469,264.4853
