"TOA5","CalibraPluv","CR1000","63522","CR1000.Std.32.03","CPU:EnsaioIR_4pluv.CR1","64429","Basculada"
"TIMESTAMP","RECORD","c","vazao","deltaT","massaT","IRm","IRr","IRrmed"
"TS","RN","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-02-10 15:34:30.24",0,0,"NAN",19.48026,2504.2,75.76903,"NAN","NAN"
"2022-02-10 15:34:30.64",1,1,"NAN",0.4,2504.2,3690,"NAN","NAN"
"2022-02-10 15:34:31.14",2,2,"NAN",0.5000001,2504.2,2952,"NAN","NAN"
"2022-02-10 15:34:31.6",3,3,"NAN",0.4600001,2504.2,3208.695,"NAN","NAN"
"2022-02-10 15:34:32.1",4,4,0,0.5000001,2504.2,2952,0,0
"2022-02-10 15:34:32.64",5,5,0,0.54,2504.2,2733.333,0,0
"2022-02-10 15:34:34.44",6,6,0,1.799999,2504.2,820.0005,0,0
"2022-02-10 15:34:38.32",7,7,0,3.879997,2504.1,380.4127,0,-3.210916
"2022-02-10 15:34:48.46",8,8,0,10.14004,2504.1,145.5615,0,-1.322142
"2022-02-10 15:34:54.86",9,9,0,6.399995,2503.7,230.6252,0,-4.893345
"2022-02-10 15:38:24.68",0,0,"NAN",72.57983,3292.7,20.33623,"NAN","NAN"
"2022-02-10 15:38:36.26",1,1,"NAN",11.58008,3298.5,127.4603,"NAN","NAN"
"2022-02-10 15:38:50.6",2,2,0.1999512,14.34014,3305.2,102.9279,45.00778,107.3516
"2022-02-10 15:39:00.16",3,3,0.5998535,9.560029,3310.2,154.3928,135.0234,109.6105
"2022-02-10 15:39:14.5",4,4,0.5,14.34014,3317.1,102.9279,112.5469,110.1141
"2022-02-10 15:39:24.74",5,5,0.5,10.24004,3321.9,144.14,112.5469,109.6729
"2022-02-10 15:39:38.38",6,6,0.5998535,13.64012,3328.9,108.2102,135.0234,111.7959
"2022-02-10 15:39:48.4",7,7,0.6999512,10.02004,3333.9,147.3048,157.5547,111.4213
"2022-02-10 15:40:02.96",8,8,0.8000488,14.56014,3340.6,101.3726,180.0861,110.2965
"2022-02-10 15:40:13.04",9,9,0.1999512,10.08004,3345.8,146.428,45.00778,109.5455
"2022-02-10 15:40:26.42",10,10,0.8999023,13.38012,3352.5,110.3129,202.5625,111.0467
"2022-02-10 15:40:36.34",11,11,0.9001465,9.920037,3357.3,148.7898,202.6174,110.2965
"2022-02-10 15:40:50.48",12,12,1,14.14013,3364.3,104.3837,225.0939,110.6712
"2022-02-10 15:41:01.58",13,13,0.1000977,11.10006,3369.3,132.9722,22.53137,110.6712
"2022-02-10 15:41:15.8",14,14,0.4001465,14.22014,3376.6,103.7965,90.07053,113.298
"2022-02-10 15:41:26.72",15,15,0.5,10.92006,3382,135.1641,112.5469,110.6712
"2022-02-10 15:41:41.1",16,16,0.6000977,14.38014,3389.6,102.6416,135.0783,112.9225
"2022-02-10 15:41:51.64",17,17,0.5,10.54005,3394.3,140.0373,112.5469,112.1723
"2022-02-10 15:42:05.78",18,18,0.6999512,14.14013,3401.4,104.3837,157.5547,112.1714
"2022-02-10 15:42:16.34",19,19,0.3000488,10.56005,3406.8,139.772,67.53915,111.4213
"2022-02-10 15:42:31.5",20,20,0.6999512,15.16016,3414.3,97.36047,157.5547,111.4213
"2022-02-10 15:42:42.12",21,21,0.4001465,10.62005,3419.6,138.9824,90.07053,111.4222
"2022-02-10 15:42:56.62",22,22,0.2998047,14.50014,3426.4,101.7921,67.4842,111.0458
"2022-02-10 15:43:07",23,23,0.3999023,10.38005,3431.4,142.1959,90.01556,111.0458
"2022-02-10 15:43:26.34",24,24,0.8999023,19.34025,3441.5,76.31752,202.5625,112.5469
"2022-02-10 15:43:36.86",25,25,0.8000488,10.52005,3446.3,140.3035,180.0861,111.7968
"2022-02-10 15:43:55.28",26,26,0.1000977,18.42023,3455.5,80.12929,22.53137,110.2956
"2022-02-10 15:44:06.02",27,27,0.7998047,10.74006,3461.4,137.4294,180.0311,112.5469
"2022-02-10 15:44:24.12",28,28,0.1999512,18.10022,3469.9,81.54595,45.00778,110.2956
"2022-02-10 15:44:34.8",29,29,0.1000977,10.68005,3474.8,138.2015,22.53137,110.2965
"2022-02-10 15:44:48.38",30,30,0.5998535,13.58012,3482.2,108.6883,135.0234,111.7968
"2022-02-10 15:44:58.94",31,31,0.5,10.56005,3486.9,139.772,112.5469,111.0458
"2022-02-10 15:45:15.8",32,32,0.1000977,16.8602,3495.3,87.54347,22.53137,109.921
"2022-02-10 15:45:26.4",33,33,0.5998535,10.60005,3500.9,139.2446,135.0234,113.2971
"2022-02-10 15:45:40.06",34,34,0.3000488,13.66012,3507.8,108.0517,67.53915,111.4213
"2022-02-10 15:45:50.66",35,35,0.3000488,10.60005,3512.7,139.2446,67.53915,110.2956
"2022-02-10 15:46:08.3",36,36,0.5,17.64021,3521.9,83.67246,112.5469,111.0458
"2022-02-10 15:46:18.48",37,37,0.3999023,10.18004,3526.9,144.9896,90.01556,112.5469
"2022-02-10 15:46:38.04",38,38,0.5,19.56026,3536.8,75.45913,112.5469,112.5469
"2022-02-10 15:46:48.38",39,39,0.5,10.34005,3541.8,142.746,112.5469,112.9225
"2022-02-10 15:47:06.28",40,40,0.6000977,17.90022,3550.8,82.45709,135.0783,112.5469
"2022-02-10 15:47:16.92",41,41,0.6000977,10.62005,3555.8,138.9824,135.0783,112.1723
"2022-02-10 15:47:34.82",42,42,0.8000488,17.90022,3564.6,82.45709,180.0861,112.1723
"2022-02-10 15:47:45.48",43,43,0.2998047,10.66005,3569.9,138.4608,67.4842,111.7959
"2022-02-10 15:48:03.94",44,44,0.4001465,18.46023,3578.8,79.95566,90.07053,111.4213
"2022-02-10 15:48:14.42",45,45,0.6000977,10.48005,3584,140.839,135.0783,110.6712
