"TOA5","EXP_LIM","CR1000","63522","CR1000.Std.32.03","CPU:exp.nicolas.CR1","2688","exp01"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","t_terra_Avg","t_agua_Avg"
"TS","RN","","","",""
"","","Min","Smp","Avg","Avg"
"2024-10-02 07:55:45",0,13.23,24.66,"NAN","NAN"
"2024-10-02 07:56:00",1,13.23,24.66,"NAN","NAN"
"2024-10-02 07:56:15",2,13.23,24.66,"NAN","NAN"
"2024-10-02 07:56:30",3,13.22,24.66,"NAN","NAN"
"2024-10-02 07:56:45",4,13.22,24.66,"NAN","NAN"
"2024-10-02 07:57:00",5,13.21,24.66,"NAN","NAN"
"2024-10-02 07:57:15",6,13.21,24.66,"NAN","NAN"
"2024-10-02 07:57:30",7,13.21,24.66,"NAN","NAN"
"2024-10-02 07:57:45",8,13.21,24.66,"NAN","NAN"
"2024-10-02 07:58:00",9,13.21,24.63,"NAN","NAN"
"2024-10-02 07:58:15",10,13.2,24.66,"NAN","NAN"
"2024-10-02 07:58:30",11,13.2,24.66,"NAN","NAN"
"2024-10-02 07:58:45",12,13.2,24.63,"NAN","NAN"
"2024-10-02 07:59:00",13,13.2,24.63,"NAN","NAN"
"2024-10-02 07:59:15",14,13.19,24.63,"NAN","NAN"
"2024-10-02 07:59:30",15,13.19,24.63,"NAN","NAN"
"2024-10-02 07:59:45",16,13.19,24.63,"NAN","NAN"
"2024-10-02 08:00:00",17,13.19,24.63,"NAN","NAN"
"2024-10-02 08:00:15",18,13.19,24.63,"NAN","NAN"
"2024-10-02 08:00:30",19,13.18,24.63,"NAN","NAN"
"2024-10-02 08:00:45",20,13.18,24.63,"NAN","NAN"
"2024-10-02 08:01:00",21,13.18,24.63,"NAN","NAN"
"2024-10-02 08:01:15",22,13.18,24.63,"NAN","NAN"
"2024-10-02 08:01:30",23,13.17,24.63,"NAN","NAN"
"2024-10-02 08:01:45",24,13.17,24.63,"NAN","NAN"
"2024-10-02 08:02:00",25,13.16,24.66,"NAN","NAN"
"2024-10-02 08:02:15",26,13.16,24.66,"NAN","NAN"
"2024-10-02 08:02:30",27,13.16,24.69,25.75,"NAN"
"2024-10-02 08:02:45",28,13.16,24.72,"NAN","NAN"
"2024-10-02 08:03:00",29,13.16,24.75,"NAN","NAN"
"2024-10-02 08:03:15",30,13.15,24.75,24.82,"NAN"
"2024-10-02 08:03:30",31,13.15,24.78,24.76,"NAN"
"2024-10-02 08:03:45",32,13.15,24.81,24.7,"NAN"
"2024-10-02 08:04:00",33,13.15,24.81,24.59,25.3
"2024-10-02 08:04:15",34,13.15,24.84,24.28,24.7
"2024-10-02 08:04:30",35,13.14,24.84,28.05,30.93
"2024-10-02 08:04:45",36,13.14,24.84,31.73,31.63
"2024-10-02 08:05:00",37,13.14,24.87,29.46,31.57
"2024-10-02 08:05:15",38,13.14,24.87,26.51,32.92
"2024-10-02 08:05:30",39,13.14,24.84,25.64,29.97
"2024-10-02 08:05:45",40,13.13,24.87,25.17,27.36
"2024-10-02 08:06:00",41,13.13,24.87,24.78,26.27
"2024-10-02 08:06:15",42,13.13,24.87,24.55,25.63
"2024-10-02 08:06:30",43,13.13,24.87,24.46,25.17
"2024-10-02 08:06:45",44,13.13,24.84,24.25,24.81
"2024-10-02 08:07:00",45,13.13,24.84,24.19,24.61
"2024-10-02 08:07:15",46,13.12,24.84,24.19,24.51
"2024-10-02 08:07:30",47,13.12,24.84,24.22,24.42
"2024-10-02 08:07:45",48,13.11,24.84,24.23,24.26
"2024-10-02 08:08:00",49,13.11,24.84,24.16,24.12
"2024-10-02 08:08:15",50,13.11,24.84,24,24.04
"2024-10-02 08:08:30",51,13.11,24.81,23.88,23.96
