"TOA5","IFSC","CR1000","51714","CR1000.Std.32.03","CPU:exp1.CR1","37159","exp1"
"TIMESTAMP","RECORD","batt_volt_Min","ptemp","Tterra_Avg","Tagua_Avg"
"TS","RN","","","",""
"","","Min","Smp","Avg","Avg"
"2023-08-30 08:18:00",0,12.16,20.66,18.58,18.58
"2023-08-30 08:19:00",1,12.16,20.66,19.31,19.51
"2023-08-30 08:20:00",2,12.16,20.66,17.95,19
"2023-08-30 08:21:00",3,12.16,20.66,18.2,19
"2023-08-30 08:22:00",4,12.16,20.66,18.6,19.19
"2023-08-30 08:23:00",5,12.16,20.66,19.1,19.27
"2023-08-30 08:24:00",6,12.16,20.66,19.64,19.31
"2023-08-30 08:25:00",7,12.16,20.69,20.15,19.49
"2023-08-30 08:26:00",8,12.16,20.69,20.72,19.54
"2023-08-30 08:27:00",9,12.16,20.69,21.26,19.72
"2023-08-30 08:28:00",10,12.16,20.72,21.83,19.88
"2023-08-30 08:29:00",11,12.16,20.72,22.44,20.1
"2023-08-30 08:30:00",12,12.16,20.72,23.06,20.17
"2023-08-30 08:31:00",13,12.16,20.72,23.67,20.3
"2023-08-30 08:32:00",14,12.16,20.72,24.28,20.36
"2023-08-30 08:33:00",15,12.16,20.74,24.92,20.51
"2023-08-30 08:34:00",16,12.16,20.74,25.56,20.65
"2023-08-30 08:35:00",17,12.16,20.74,26.15,20.77
"2023-08-30 08:36:00",18,12.16,20.74,26.75,20.92
"2023-08-30 08:37:00",19,12.16,20.74,27.36,21.02
"2023-08-30 08:38:00",20,12.16,20.74,27.93,21.15
"2023-08-30 08:39:00",21,12.16,20.74,28.49,21.29
"2023-08-30 08:40:00",22,12.16,20.77,29.09,21.44
"2023-08-30 08:41:00",23,12.16,20.77,29.68,21.57
"2023-08-30 08:42:00",24,12.16,20.77,30.28,21.68
"2023-08-30 08:43:00",25,12.16,20.8,30.81,21.83
"2023-08-30 08:44:00",26,12.16,20.8,31.4,22.03
"2023-08-30 08:45:00",27,12.16,20.8,31.94,22.15
"2023-08-30 08:46:00",28,12.16,20.8,32.45,22.31
"2023-08-30 08:47:00",29,12.16,20.83,32.94,22.46
"2023-08-30 08:48:00",30,12.16,20.83,33.44,22.6
"2023-08-30 08:49:00",31,12.16,20.85,33.9,22.74
"2023-08-30 08:50:00",32,12.16,20.85,34.33,22.92
"2023-08-30 08:51:00",33,12.16,20.88,34.78,23.03
"2023-08-30 08:52:00",34,12.16,20.88,35.19,23.24
"2023-08-30 08:53:00",35,12.16,20.88,35.63,23.34
"2023-08-30 08:54:00",36,12.16,20.91,36.02,23.5
"2023-08-30 08:55:00",37,12.16,20.91,36.43,23.66
"2023-08-30 08:56:00",38,12.16,20.91,36.8,23.81
"2023-08-30 08:57:00",39,12.16,20.91,37.18,23.95
"2023-08-30 08:58:00",40,12.16,20.91,37.51,24.14
"2023-08-30 08:59:00",41,12.16,20.93,37.85,24.29
"2023-08-30 09:00:00",42,12.16,20.93,38.18,24.44
"2023-08-30 09:01:00",43,12.16,20.93,38.48,24.59
"2023-08-30 09:02:00",44,12.16,20.93,38.77,24.73
"2023-08-30 09:03:00",45,12.16,20.93,39.07,24.89
"2023-08-30 09:04:00",46,12.16,20.96,39.35,25.04
"2023-08-30 09:05:00",47,12.16,20.96,39.65,25.15
"2023-08-30 09:06:00",48,12.16,20.99,39.94,25.29
"2023-08-30 09:07:00",49,12.16,20.99,40.2,25.45
