"TOA5","IFSC","CR1000","51714","CR1000.Std.32.03","CPU:exp2.CR1","24579","saida1min"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","rad_in_Avg","rad_ref_Avg"
"TS","RN","","","",""
"","","Min","Smp","Avg","Avg"
"2023-04-05 08:03:00",0,12.34,25.04,2.018,2.007
"2023-04-05 08:04:00",1,12.34,25.01,649.9,634
"2023-04-05 08:05:00",2,12.33,25.01,0.585,1.371
"2023-04-05 08:06:00",3,12.34,24.98,0.786,1.706
"2023-04-05 08:07:00",4,12.34,24.95,3.127,1.639
"2023-04-05 08:08:00",5,12.33,24.95,1.4,1.126
"2023-04-05 08:09:00",6,12.33,24.95,1.268,1.193
"2023-04-05 08:10:00",7,12.31,24.98,13.85,4.868
"2023-04-05 08:11:00",8,12.34,25.07,13.9,4.097
"2023-04-05 08:12:00",9,12.3,25.16,14.41,6.455
"2023-04-05 08:13:00",10,12.32,25.22,14.54,4.894
"2023-04-05 08:14:00",11,12.28,25.25,19.76,4.693
"2023-04-05 08:15:00",12,12.31,25.28,21.23,5.284
"2023-04-05 08:16:00",13,12.31,25.31,21.78,5.652
"2023-04-05 08:17:00",14,12.32,25.28,14.08,4.782
"2023-04-05 08:18:00",15,12.32,25.28,13.82,4.794
"2023-04-05 08:19:00",16,12.32,25.28,14.93,4.292
"2023-04-05 08:20:00",17,12.32,25.25,15.78,4.136
"2023-04-05 08:21:00",18,12.32,25.25,16.58,4.203
"2023-04-05 08:22:00",19,12.32,25.19,16.22,4.693
"2023-04-05 08:23:00",20,12.32,25.16,14.59,5.206
"2023-04-05 08:24:00",21,12.32,25.13,8.51,3.701
"2023-04-05 08:25:00",22,12.32,25.13,14.41,4.08
"2023-04-05 08:26:00",23,12.32,25.13,13.5,3.422
"2023-04-05 08:27:00",24,12.31,25.13,14.13,4.314
"2023-04-05 08:28:00",25,12.31,25.1,14.41,4.114
"2023-04-05 08:29:00",26,12.3,25.1,13.79,3.69
"2023-04-05 08:30:00",27,12.3,25.1,14.3,3.434
"2023-04-05 08:31:00",28,12.32,25.13,15.15,3.322
"2023-04-05 08:32:00",29,12.32,25.13,18.71,3.947
"2023-04-05 08:33:00",30,12.33,25.13,64.52,13.6
"2023-04-05 08:34:00",31,12.33,25.19,286.2,64.77
"2023-04-05 08:35:00",32,12.33,25.22,297,83.1
"2023-04-05 08:36:00",33,12.33,25.31,285.7,65.58
"2023-04-05 08:37:00",34,12.33,25.49,297.7,69.79
"2023-04-05 08:38:00",35,12.33,25.67,309,73.01
"2023-04-05 08:39:00",36,12.33,25.83,316,74.37
"2023-04-05 08:40:00",37,12.33,25.98,309.3,70.64
"2023-04-05 08:41:00",38,12.33,26.16,327.7,74.55
"2023-04-05 08:42:00",39,12.33,26.37,300.6,70.65
"2023-04-05 08:43:00",40,12.33,26.59,329,77.65
"2023-04-05 08:44:00",41,12.33,26.81,333.4,78.41
"2023-04-05 08:45:00",42,12.33,27,340.3,79.95
"2023-04-05 08:46:00",43,12.33,27.18,370.6,87.9
"2023-04-05 08:47:00",44,12.32,27.4,368.9,86.9
"2023-04-05 08:48:00",45,12.33,27.56,389.8,92.2
"2023-04-05 08:49:00",46,12.32,27.69,416.8,99.1
"2023-04-05 08:50:00",47,12.32,27.82,439.7,105.1
"2023-04-05 08:51:00",48,12.32,27.98,431.1,102.6
"2023-04-05 08:52:00",49,12.32,28.17,386,62.5
"2023-04-05 08:53:00",50,12.32,28.23,317.2,31.69
"2023-04-05 08:54:00",51,12.32,28.23,220.6,23.96
"2023-04-05 08:55:00",52,12.32,28.2,318,26.08
"2023-04-05 08:56:00",53,12.33,28.14,330.8,27.37
"2023-04-05 08:57:00",54,12.33,28.17,360.3,29.15
