"TOA5","IFSC","CR1000","51714","CR1000.Std.32.03","CPU:Experimento 02 MVP.CR1","54022","saida_1s"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","rad_in","rad_ref"
"TS","RN","","","",""
"","","Min","Smp","Smp","Smp"
"2022-09-28 09:51:51",0,12.33,22.84,1.378,1.335
"2022-09-28 09:51:52",1,12.33,22.84,1.378,1.335
"2022-09-28 09:51:53",2,12.33,22.84,1.378,1.335
"2022-09-28 09:51:54",3,12.33,22.84,1.033,1.335
"2022-09-28 09:51:55",4,12.33,22.84,1.033,1.335
"2022-09-28 09:51:56",5,12.33,22.84,1.378,1.335
"2022-09-28 09:51:57",6,12.33,22.84,1.378,1.335
"2022-09-28 09:51:58",7,12.33,22.84,1.378,1.335
"2022-09-28 09:51:59",8,12.33,22.84,1.378,1.335
"2022-09-28 09:52:00",9,12.33,22.84,1.378,1.335
"2022-09-28 09:52:01",10,12.33,22.84,1.378,1.335
"2022-09-28 09:52:02",11,12.33,22.84,1.033,1.335
"2022-09-28 09:52:03",12,12.33,22.84,1.033,1.335
"2022-09-28 09:52:04",13,12.33,22.84,1.033,1.335
"2022-09-28 09:52:05",14,12.33,22.84,1.033,1.335
"2022-09-28 09:52:06",15,12.34,22.84,1.033,1.335
"2022-09-28 09:52:07",16,12.33,22.84,1.033,1.335
"2022-09-28 09:52:08",17,12.33,22.84,1.033,1.335
"2022-09-28 09:52:09",18,12.33,22.84,1.378,1.335
"2022-09-28 09:52:10",19,12.33,22.84,1.378,1.335
"2022-09-28 09:52:11",20,12.34,22.84,1.378,1.335
"2022-09-28 09:52:12",21,12.33,22.81,1.722,1.335
"2022-09-28 09:52:13",22,12.33,22.81,1.378,1.335
"2022-09-28 09:52:14",23,12.33,22.84,1.378,1.335
"2022-09-28 09:52:15",24,12.33,22.84,1.378,1.335
"2022-09-28 09:52:16",25,12.33,22.81,1.033,1.335
"2022-09-28 09:52:17",26,12.33,22.81,1.378,1.335
"2022-09-28 09:52:18",27,12.33,22.81,1.033,1.335
"2022-09-28 09:52:19",28,12.33,22.81,1.033,1.335
"2022-09-28 09:52:20",29,12.33,22.81,1.378,1.335
"2022-09-28 09:52:21",30,12.33,22.81,1.378,1.335
"2022-09-28 09:52:22",31,12.34,22.81,1.378,1.335
"2022-09-28 09:52:23",32,12.33,22.81,1.033,1.335
"2022-09-28 09:52:24",33,12.34,22.81,1.378,1.335
"2022-09-28 09:52:25",34,12.34,22.81,1.378,1.335
"2022-09-28 09:52:26",35,12.34,22.81,1.378,1.335
"2022-09-28 09:52:27",36,12.33,22.81,1.378,1.335
"2022-09-28 09:52:28",37,12.33,22.81,1.378,1.335
"2022-09-28 09:52:29",38,12.34,22.81,1.722,1.335
"2022-09-28 09:52:30",39,12.34,22.81,1.378,1.335
"2022-09-28 09:52:31",40,12.34,22.81,1.378,1.335
"2022-09-28 09:52:32",41,12.34,22.81,1.722,1.335
"2022-09-28 09:52:33",42,12.33,22.81,1.378,1.335
"2022-09-28 09:52:34",43,12.34,22.81,2.066,1.335
"2022-09-28 09:52:35",44,12.33,22.81,1.722,2.003
"2022-09-28 09:52:36",45,12.34,22.81,1.722,2.003
"2022-09-28 09:52:37",46,12.33,22.81,1.722,2.003
"2022-09-28 09:52:38",47,12.33,22.81,1.722,2.003
"2022-09-28 09:52:39",48,12.34,22.81,1.378,1.335
"2022-09-28 09:52:40",49,12.33,22.81,1.378,1.335
"2022-09-28 09:52:41",50,12.34,22.81,1.378,1.335
"2022-09-28 09:52:42",51,12.34,22.81,1.033,1.335
"2022-09-28 09:52:43",52,12.34,22.81,1.378,1.335
"2022-09-28 09:52:44",53,12.34,22.81,1.378,1.335
"2022-09-28 09:52:45",54,12.34,22.81,1.378,1.335
"2022-09-28 09:52:46",55,12.33,22.81,1.378,1.335
"2022-09-28 09:52:47",56,12.33,22.81,1.378,1.335
"2022-09-28 09:52:48",57,12.33,22.81,1.378,1.335
"2022-09-28 09:52:49",58,12.34,22.81,1.722,1.335
"2022-09-28 09:52:50",59,12.34,22.81,1.722,1.335
"2022-09-28 09:52:51",60,12.33,22.81,1.378,1.335
"2022-09-28 09:52:52",61,12.33,22.81,1.722,1.335
"2022-09-28 09:52:53",62,12.34,22.81,1.378,1.335
"2022-09-28 09:52:54",63,12.33,22.81,1.378,1.335
"2022-09-28 09:52:55",64,12.34,22.81,1.378,1.335
"2022-09-28 09:52:56",65,12.34,22.81,1.378,1.335
"2022-09-28 09:52:57",66,12.34,22.81,1.378,1.335
"2022-09-28 09:52:58",67,12.34,22.81,1.722,1.335
"2022-09-28 09:52:59",68,12.33,22.81,1.378,1.335
"2022-09-28 09:53:00",69,12.33,22.81,1.378,1.335
"2022-09-28 09:53:01",70,12.34,22.81,1.033,1.335
"2022-09-28 09:53:02",71,12.34,22.81,1.033,1.335
"2022-09-28 09:53:03",72,12.34,22.81,1.033,1.335
"2022-09-28 09:53:04",73,12.34,22.81,1.033,1.335
"2022-09-28 09:53:05",74,12.34,22.81,0.689,1.335
"2022-09-28 09:53:06",75,12.34,22.81,0.689,1.335
"2022-09-28 09:53:07",76,12.34,22.81,0.689,1.335
"2022-09-28 09:53:08",77,12.33,22.81,1.033,1.335
"2022-09-28 09:53:09",78,12.33,22.78,1.378,1.335
"2022-09-28 09:53:10",79,12.33,22.81,1.378,1.335
"2022-09-28 09:53:11",80,12.34,22.78,1.378,1.335
"2022-09-28 09:53:12",81,12.34,22.78,1.378,1.335
"2022-09-28 09:53:13",82,12.33,22.78,1.378,1.335
"2022-09-28 09:53:14",83,12.33,22.78,1.378,1.335
"2022-09-28 09:53:15",84,12.33,22.78,1.378,1.335
"2022-09-28 09:53:16",85,12.34,22.78,1.033,1.335
"2022-09-28 09:53:17",86,12.34,22.78,0.689,1.335
"2022-09-28 09:53:18",87,12.34,22.78,0.689,1.335
"2022-09-28 09:53:19",88,12.33,22.78,1.033,1.335
"2022-09-28 09:53:20",89,12.34,22.78,0.689,1.335
"2022-09-28 09:53:21",90,12.34,22.78,1.033,1.335
"2022-09-28 09:53:22",91,12.33,22.78,1.378,1.335
"2022-09-28 09:53:23",92,12.34,22.78,1.378,1.335
"2022-09-28 09:53:24",93,12.34,22.78,1.378,1.335
"2022-09-28 09:53:25",94,12.33,22.78,1.378,1.335
"2022-09-28 09:53:26",95,12.33,22.78,1.378,2.003
"2022-09-28 09:53:27",96,12.33,22.78,1.722,1.335
"2022-09-28 09:53:28",97,12.34,22.78,1.378,1.335
"2022-09-28 09:53:29",98,12.33,22.78,1.378,1.335
"2022-09-28 09:53:30",99,12.34,22.78,1.378,1.335
"2022-09-28 09:53:31",100,12.34,22.78,1.378,1.335
"2022-09-28 09:53:32",101,12.33,22.78,1.378,1.335
"2022-09-28 09:53:33",102,12.34,22.78,1.378,1.335
"2022-09-28 09:53:34",103,12.34,22.78,1.033,1.335
"2022-09-28 09:53:35",104,12.33,22.78,0.689,1.335
"2022-09-28 09:53:36",105,12.34,22.78,1.033,1.335
"2022-09-28 09:53:37",106,12.33,22.78,0.689,1.335
"2022-09-28 09:53:38",107,12.33,22.78,0.689,1.335
"2022-09-28 09:53:39",108,12.33,22.78,0.689,1.335
"2022-09-28 09:53:40",109,12.33,22.78,0.689,1.335
"2022-09-28 09:53:41",110,12.33,22.78,0.689,1.335
"2022-09-28 09:53:42",111,12.33,22.78,1.033,1.335
"2022-09-28 09:53:43",112,12.33,22.78,1.378,1.335
"2022-09-28 09:53:44",113,12.33,22.78,1.378,1.335
"2022-09-28 09:53:45",114,12.33,22.78,1.722,2.003
"2022-09-28 09:53:46",115,12.34,22.78,1.378,2.003
"2022-09-28 09:53:47",116,12.33,22.78,1.378,2.003
"2022-09-28 09:53:48",117,12.33,22.78,1.378,1.335
"2022-09-28 09:53:49",118,12.33,22.78,1.378,1.335
"2022-09-28 09:53:50",119,12.33,22.78,1.378,1.335
"2022-09-28 09:53:51",120,12.34,22.78,1.378,1.335
"2022-09-28 09:53:52",121,12.33,22.78,0.689,1.335
"2022-09-28 09:53:53",122,12.34,22.78,1.033,1.335
"2022-09-28 09:53:54",123,12.33,22.78,0.689,1.335
"2022-09-28 09:53:55",124,12.33,22.78,0.689,1.335
"2022-09-28 09:53:56",125,12.33,22.78,0.689,1.335
"2022-09-28 09:54:02",126,12.33,22.78,0.689,1.335
"2022-09-28 09:54:03",127,12.33,22.78,0.689,1.335
"2022-09-28 09:54:04",128,12.33,22.78,1.033,1.335
"2022-09-28 09:54:05",129,12.33,22.78,1.033,1.335
"2022-09-28 09:54:06",130,12.33,22.78,1.378,1.335
"2022-09-28 09:54:07",131,12.33,22.78,1.378,1.335
"2022-09-28 09:54:08",132,12.33,22.78,1.033,1.335
"2022-09-28 09:54:09",133,12.33,22.78,1.378,1.335
"2022-09-28 09:54:10",134,12.33,22.78,1.378,1.335
"2022-09-28 09:54:11",135,12.33,22.78,1.378,1.335
"2022-09-28 09:54:12",136,12.33,22.78,1.378,1.335
"2022-09-28 09:54:13",137,12.33,22.78,1.378,1.335
"2022-09-28 09:54:14",138,12.33,22.78,1.378,1.335
"2022-09-28 09:54:15",139,12.33,22.78,1.722,2.003
"2022-09-28 09:54:16",140,12.33,22.78,1.378,1.335
"2022-09-28 09:54:17",141,12.33,22.78,1.378,1.335
"2022-09-28 09:54:18",142,12.34,22.78,1.378,1.335
"2022-09-28 09:54:19",143,12.33,22.78,1.033,1.335
"2022-09-28 09:54:20",144,12.33,22.75,1.033,1.335
"2022-09-28 09:54:21",145,12.33,22.75,0.689,1.335
"2022-09-28 09:54:22",146,12.33,22.75,0.689,1.335
"2022-09-28 09:54:23",147,12.33,22.75,0.689,1.335
"2022-09-28 09:54:24",148,12.33,22.75,1.033,1.335
"2022-09-28 09:54:25",149,12.33,22.75,1.033,1.335
"2022-09-28 09:54:26",150,12.33,22.75,1.033,1.335
"2022-09-28 09:54:27",151,12.33,22.75,0.689,1.335
"2022-09-28 09:54:28",152,12.33,22.75,0.689,1.335
"2022-09-28 09:54:29",153,12.33,22.75,0.689,1.335
"2022-09-28 09:54:30",154,12.33,22.75,1.033,1.335
"2022-09-28 09:54:31",155,12.33,22.75,1.033,1.335
"2022-09-28 09:54:32",156,12.33,22.75,1.033,1.335
"2022-09-28 09:54:33",157,12.33,22.75,1.033,1.335
"2022-09-28 09:54:34",158,12.34,22.75,1.033,1.335
"2022-09-28 09:54:35",159,12.33,22.75,1.033,1.335
"2022-09-28 09:54:36",160,12.34,22.75,1.033,1.335
"2022-09-28 09:54:37",161,12.33,22.75,1.033,1.335
"2022-09-28 09:54:38",162,12.33,22.75,1.033,1.335
"2022-09-28 09:54:39",163,12.33,22.75,1.378,1.335
"2022-09-28 09:54:40",164,12.33,22.75,1.378,1.335
"2022-09-28 09:54:41",165,12.33,22.75,1.722,1.335
"2022-09-28 09:54:42",166,12.33,22.75,1.722,1.335
"2022-09-28 09:54:43",167,12.33,22.75,1.722,1.335
"2022-09-28 09:54:44",168,12.34,22.75,2.066,1.335
"2022-09-28 09:54:45",169,12.33,22.75,1.722,1.335
"2022-09-28 09:54:46",170,12.33,22.75,1.722,1.335
"2022-09-28 09:54:47",171,12.33,22.75,1.378,1.335
"2022-09-28 09:54:48",172,12.34,22.75,1.378,1.335
"2022-09-28 09:54:49",173,12.33,22.75,1.378,1.335
"2022-09-28 09:54:50",174,12.33,22.75,1.378,1.335
"2022-09-28 09:54:51",175,12.33,22.75,1.378,1.335
"2022-09-28 09:54:52",176,12.33,22.75,-0.344,0.668
"2022-09-28 09:54:53",177,12.33,22.75,1.033,0.668
"2022-09-28 09:54:54",178,12.33,22.75,3.444,1.335
"2022-09-28 09:54:55",179,12.33,22.75,3.099,2.67
"2022-09-28 09:54:56",180,12.33,22.75,3.099,2.003
"2022-09-28 09:54:57",181,12.33,22.75,3.099,2.003
"2022-09-28 09:54:58",182,12.33,22.75,2.411,4.005
"2022-09-28 09:54:59",183,12.33,22.75,3.444,2.003
"2022-09-28 09:55:00",184,12.33,22.75,523.8,1.335
