"TOA5","LIM","CR1000","51714","CR1000.Std.32.03","CPU:Reges.CR1","23335","experimentoTerraAgua"
"TIMESTAMP","RECORD","PTemp","TAgua_Avg","TTerra_Avg","TAgua_Std","TTerra_Std"
"TS","RN","","","","",""
"","","Smp","Avg","Avg","Std","Std"
"2023-08-16 09:26:00",0,23.01,30.71,30.26,5.914,0.365
"2023-08-16 09:27:00",1,23.01,23.81,29.79,0.353,0.06
"2023-08-16 09:28:00",2,23.01,21.92,28.4,0.2,2.972
"2023-08-16 09:29:00",3,23.04,21.8,21.11,0.068,0.211
"2023-08-16 09:30:00",4,23.04,21.87,20.89,0.033,0.073
"2023-08-16 09:31:00",5,23.04,21.97,20.59,0.117,0.132
"2023-08-16 09:32:00",6,23.04,21.9,20.48,0.038,0.129
"2023-08-16 09:33:00",7,23.04,21.86,20.58,0.021,0.111
"2023-08-16 09:34:00",8,23.04,21.83,20.79,0.022,0.072
"2023-08-16 09:35:00",9,23.04,21.94,20.7,0.025,0.092
"2023-08-16 09:36:00",10,23.04,22.02,20.74,0.114,0.173
"2023-08-16 09:37:00",11,23.07,22.15,21.04,0.027,0.061
"2023-08-16 09:38:00",12,23.07,22.25,20.83,0.053,0.096
"2023-08-16 09:39:00",13,23.07,23.76,20.79,3.2,0.162
"2023-08-16 09:40:00",14,23.07,20,21.98,0.033,0.643
"2023-08-16 09:41:00",15,23.07,20.01,22.29,0.022,0.012
"2023-08-16 09:42:00",16,23.07,20.03,22.31,0.023,0.029
"2023-08-16 09:43:00",17,23.07,20.07,22.36,0.03,0.016
"2023-08-16 09:44:00",18,23.07,20.11,22.38,0.026,0.017
"2023-08-16 09:45:00",19,23.07,20.14,22.81,0.025,0.622
"2023-08-16 09:46:00",20,23.07,20.37,25.38,0.097,1
"2023-08-16 09:47:00",21,23.1,20.58,29.46,0.078,1.292
"2023-08-16 09:48:00",22,23.1,20.66,33.93,0.103,1.246
"2023-08-16 09:49:00",23,23.12,20.88,38.01,0.066,1.094
"2023-08-16 09:50:00",24,23.12,21.08,41.46,0.067,0.889
"2023-08-16 09:51:00",25,23.12,21.29,44.21,0.077,0.705
"2023-08-16 09:52:00",26,23.15,21.5,46.45,0.079,0.598
"2023-08-16 09:53:00",27,23.15,21.79,48.32,0.065,0.517
"2023-08-16 09:54:00",28,23.15,22.01,49.95,0.092,0.395
"2023-08-16 09:55:00",29,23.18,22.27,51.3,0.065,0.381
"2023-08-16 09:56:00",30,23.18,22.52,52.41,0.065,0.311
"2023-08-16 09:57:00",31,23.18,22.72,53.43,0.098,0.251
"2023-08-16 09:58:00",32,23.21,22.98,54.34,0.068,0.258
"2023-08-16 09:59:00",33,23.21,23.26,55.11,0.08,0.225
"2023-08-16 10:00:00",34,23.21,23.45,55.93,0.049,0.247
"2023-08-16 10:01:00",35,23.24,23.74,56.64,0.068,0.196
"2023-08-16 10:02:00",36,23.24,23.97,57.28,0.053,0.2
"2023-08-16 10:03:00",37,23.27,24.21,57.85,0.065,0.174
"2023-08-16 10:04:00",38,23.27,24.48,58.37,0.05,0.157
"2023-08-16 10:05:00",39,23.29,24.71,58.88,0.07,0.166
"2023-08-16 10:06:00",40,23.29,24.99,59.36,0.061,0.142
"2023-08-16 10:07:00",41,23.29,25.27,59.73,0.073,0.105
"2023-08-16 10:08:00",42,23.32,25.46,60.16,0.102,0.105
"2023-08-16 10:09:00",43,23.32,25.78,60.47,0.083,0.1
"2023-08-16 10:10:00",44,23.32,25.97,60.83,0.077,0.096
"2023-08-16 10:11:00",45,23.32,26.24,61.1,0.084,0.054
"2023-08-16 10:12:00",46,23.35,26.46,61.4,0.095,0.09
"2023-08-16 10:13:00",47,23.35,26.7,61.7,0.073,0.093
"2023-08-16 10:14:00",48,23.38,26.93,61.98,0.072,0.086
"2023-08-16 10:15:00",49,23.38,27.17,62.27,0.078,0.072
"2023-08-16 10:16:00",50,23.41,27.39,62.57,0.099,0.071
"2023-08-16 10:17:00",51,23.41,27.65,62.81,0.08,0.055
"2023-08-16 10:18:00",52,23.44,27.85,63.11,0.075,0.083
"2023-08-16 10:19:00",53,23.44,28.05,63.38,0.062,0.082
"2023-08-16 10:20:00",54,23.47,28.31,63.6,0.083,0.077
"2023-08-16 10:21:00",55,23.47,28.54,63.83,0.062,0.059
"2023-08-16 10:22:00",56,23.5,28.69,64.11,0.07,0.086
"2023-08-16 10:23:00",57,23.5,28.9,64.35,0.061,0.07
"2023-08-16 10:24:00",58,23.52,29.17,64.56,0.075,0.071
"2023-08-16 10:25:00",59,23.52,29.37,64.77,0.052,0.09
"2023-08-16 10:26:00",60,23.52,29.57,64.99,0.048,0.064
"2023-08-16 10:27:00",61,23.52,29.55,63.98,0.04,0.643
"2023-08-16 10:28:00",62,23.52,29.49,61.53,0.023,0.753
"2023-08-16 10:29:00",63,23.55,29.51,58.96,0.019,0.714
