"TOA5","CR1000","CR1000","51714","CR1000.Std.32.03","CPU:exp3.CR1","48876","saida1min"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","PT100_Avg","termopar_Avg","PT100_Std","termopar_Std"
"TS","RN","","","","","",""
"","","Min","Smp","Avg","Avg","Std","Std"
"2024-06-16 08:51:00",0,12.01,23.12,-1.953,2.317,0.06,0.013
"2024-06-16 08:52:00",1,12.02,23.12,-2.307,1.487,0.302,0.642
"2024-06-16 08:53:00",2,12.01,23.1,-3.255,0.361,0.17,0.162
"2024-06-16 08:57:00",0,12.01,23.07,0.229,0.696,0.058,0.024
"2024-06-16 08:58:00",1,12.01,23.07,0.287,0.785,0.051,0.028
"2024-06-16 08:59:00",2,12.01,23.07,0.44,0.867,0.06,0.024
"2024-06-16 09:00:00",0,12.01,23.07,0.585,0.981,0.041,0.012
"2024-06-16 09:01:00",1,12,23.07,0.61,1.033,0.054,0.026
"2024-06-16 09:02:00",2,12,23.07,0.639,1.124,0.069,0.028
"2024-06-16 09:03:00",3,12.01,23.07,0.708,1.18,0.048,0.012
"2024-06-16 09:04:00",4,12.01,23.07,0.789,1.179,0.05,0.026
"2024-06-16 09:05:00",5,12.01,23.07,0.843,1.169,0.055,0.081
"2024-06-16 09:06:00",6,12.01,23.07,0.838,1.057,0.059,0.025
"2024-06-16 09:07:00",7,12.01,23.04,0.775,0.922,0.179,0.151
"2024-06-16 09:08:00",8,12.01,23.04,0.607,1.009,0.109,0.101
"2024-06-16 09:09:00",9,12.01,23.07,1.38,2.018,0.661,1.663
"2024-06-16 09:10:00",10,12.01,23.07,5.079,9.28,2.099,5.17
"2024-06-16 09:11:00",11,12.01,23.07,9.94,10.2,0.15,0.413
"2024-06-16 09:12:00",12,12.01,23.07,10.55,10.32,0.13,0.066
"2024-06-16 09:13:00",13,12.01,23.07,10.36,10.43,0.062,0.056
"2024-06-16 09:14:00",14,12.01,23.07,10.33,10.47,0.06,0.015
"2024-06-16 09:15:00",15,12.01,23.07,10.39,10.55,0.069,0.035
"2024-06-16 09:16:00",16,12.01,23.07,10.49,10.94,0.115,1.498
"2024-06-16 09:17:00",17,12.01,23.07,13.29,14.14,0.994,1.547
"2024-06-16 09:18:00",18,12.01,23.07,15.39,15.85,0.196,0.035
"2024-06-16 09:19:00",19,12.01,23.1,15.66,15.89,0.052,0.019
"2024-06-16 09:20:00",20,12.01,23.1,15.71,15.92,0.055,0.014
"2024-06-16 09:21:00",21,12.01,23.1,15.77,15.94,0.066,0.01
"2024-06-16 09:22:00",22,12.01,23.1,15.76,15.95,0.072,0.01
"2024-06-16 09:23:00",23,12.01,23.1,15.78,15.96,0.07,0.011
"2024-06-16 09:24:00",24,12.01,23.1,15.77,15.97,0.071,0.009
"2024-06-16 09:25:00",25,12.01,23.1,15.8,15.99,0.055,0.017
"2024-06-16 09:26:00",26,12.01,23.1,17.56,18.66,1.719,2.243
"2024-06-16 09:27:00",27,12.01,23.07,20.11,20.45,0.131,0.063
"2024-06-16 09:28:00",28,12.01,23.07,20.26,20.6,0.083,0.036
"2024-06-16 09:29:00",29,12.01,23.07,20.42,20.69,0.082,0.031
"2024-06-16 09:30:00",30,12.01,23.1,20.54,20.78,0.094,0.036
"2024-06-16 09:31:00",31,12.01,23.1,20.87,20.86,0.091,0.022
