"TOA5","experimento","CR1000","63522","CR1000.Std.32.03","CPU:albedo.CR1","7723","exp02"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","radiacao_incidente_Avg","radiacao_refletida_Avg"
"TS","RN","","","",""
"","","Min","Smp","Avg","Avg"
"2024-11-06 11:31:00",0,12.85,22.9,"NAN","NAN"
"2024-11-06 11:32:00",1,12.84,22.9,"NAN",2178
"2024-11-06 11:33:00",2,12.83,22.9,"NAN","NAN"
"2024-11-06 11:34:00",3,12.82,22.95,0.982,2259
"2024-11-06 11:35:00",4,12.81,23.04,0.931,"NAN"
"2024-11-06 11:36:00",5,12.81,23.1,0.988,"NAN"
"2024-11-06 11:37:00",6,12.8,23.15,1.235,-146.4
"2024-11-06 11:38:00",7,12.8,23.24,2.695,-666.8
"2024-11-06 11:39:00",8,12.79,23.24,19.75,1.409
"2024-11-13 07:33:00",9,12.92,22.92,2.616,2.145
"2024-11-13 07:34:00",10,12.89,22.92,2.706,2.349
"2024-11-13 07:35:00",11,12.87,22.95,2.769,2.315
"2024-11-13 07:36:00",12,12.84,22.95,2.183,1.801
"2024-11-13 07:37:00",13,12.83,22.95,2.355,2.17
"2024-11-13 07:38:00",14,12.82,23.01,2.74,2.416
"2024-11-13 07:39:00",15,12.81,23.01,2.694,2.327
"2024-11-13 07:40:00",16,12.8,23.04,2.344,1.868
"2024-11-13 07:41:00",17,12.79,23.04,2.309,1.801
"2024-11-13 07:42:00",18,12.79,23.04,2.706,2.327
"2024-11-13 07:43:00",19,12.78,23.07,2.045,1.454
"2024-11-13 07:48:00",20,12.83,23.21,1.139,1.576
"2024-11-13 07:49:00",21,12.81,23.24,0.982,2.013
"2024-11-13 07:50:00",22,12.81,23.27,0.81,1.957
"2024-11-13 07:51:00",23,12.8,23.29,0.511,1.667
"2024-11-13 07:52:00",24,12.79,23.32,0.661,1.599
"2024-11-13 07:53:00",25,12.79,23.38,1.189,1.443
"2024-11-13 07:54:00",26,12.79,23.41,0.454,1.007
"2024-11-13 07:55:00",27,12.79,23.47,0.574,0.112
"2024-11-13 07:56:00",28,12.79,23.5,0.689,0.626
"2024-11-13 07:57:00",29,12.79,23.55,1.172,0.727
"2024-11-13 07:58:00",30,12.79,23.58,1.729,0.839
"2024-11-13 07:59:00",31,12.79,23.58,1.551,0.85
"2024-11-13 08:00:00",32,12.79,23.61,1.861,0.638
"2024-11-13 08:01:00",33,12.79,23.64,1.746,0.962
"2024-11-13 08:19:00",34,12.87,25.25,"NAN",71.71
"2024-11-13 08:20:00",35,12.86,26.04,"NAN",66.39
"2024-11-13 08:21:00",36,12.84,26.74,"NAN",67.18
"2024-11-13 08:25:00",37,12.84,28.69,690.8,73.05
"2024-11-13 08:26:00",38,12.83,29.45,699.3,71.07
"2024-11-13 08:27:00",39,12.82,30.16,711.9,64.33
"2024-11-13 08:28:00",40,12.83,30.95,725.4,65.08
"2024-11-13 08:29:00",41,12.83,31.58,736.6,66.28
"2024-11-13 08:30:00",42,12.82,32.3,754.2,68.07
"2024-11-13 08:31:00",43,12.82,32.95,760.5,68.77
"2024-11-13 08:32:00",44,12.83,33.47,780.3,70.17
"2024-11-13 08:33:00",45,12.83,34,799.1,71.84
"2024-11-13 08:34:00",46,12.83,34.58,802,72.21
"2024-11-13 08:35:00",47,12.83,35.12,818,73.66
"2024-11-13 08:36:00",48,12.83,35.8,818,73.56
"2024-11-13 08:37:00",49,12.83,36.44,826,83
"2024-11-13 08:38:00",50,12.83,37.02,882,105.8
"2024-11-13 08:39:00",51,12.83,37.02,828,210.7
"2024-11-13 08:40:00",52,12.82,37.44,831,213.1
"2024-11-13 08:41:00",53,12.83,38.03,836,213.1
