"TOA5","exp","CR1000","63522","CR1000.Std.32.03","CPU:Exp04.CR1","61843","Calibracao"
"TIMESTAMP","RECORD","massa","t"
"TS","RN","",""
"","","Smp","Smp"
"2025-07-16 11:12:00.6",0,"NAN",155
"2025-07-16 11:12:00.6",1,"NAN",155
"2025-07-16 11:12:04.2",2,"NAN",15
"2025-07-16 11:12:04.2",3,"NAN",15
"2025-07-16 11:12:06.4",4,"NAN",11
"2025-07-16 11:12:06.4",5,"NAN",11
"2025-07-16 11:12:08.8",6,"NAN",12
"2025-07-16 11:12:08.8",7,"NAN",12
"2025-07-16 11:12:11.6",8,"NAN",13
"2025-07-16 11:12:11.6",9,"NAN",13
"2025-07-16 11:12:17.8",10,"NAN",24
"2025-07-16 11:12:17.8",11,"NAN",24
"2025-07-16 11:12:19",12,"NAN",5
"2025-07-16 11:12:19",13,"NAN",5
"2025-07-16 11:12:20",14,2766.2,3
"2025-07-16 11:12:20",15,2766.2,3
"2025-07-16 11:12:21.2",16,"NAN",4
"2025-07-16 11:12:21.2",17,"NAN",4
"2025-07-16 11:12:23.2",18,"NAN",8
"2025-07-16 11:12:23.2",19,"NAN",8
"2025-07-16 11:12:28.7",20,959.9,24
"2025-07-16 11:12:28.7",21,959.9,24
"2025-07-16 11:13:21",22,"NAN",208
"2025-07-16 11:13:21",23,"NAN",208
"2025-07-16 11:13:23.6",24,207.4,7
"2025-07-16 11:13:23.6",25,207.4,7
"2025-07-16 11:13:24.4",26,207.5,2
"2025-07-16 11:13:24.4",27,207.5,2
"2025-07-16 11:13:27.5",28,"NAN",8
"2025-07-16 11:13:27.5",29,"NAN",8
"2025-07-16 11:13:29.5",30,"NAN",7
"2025-07-16 11:13:29.5",31,"NAN",7
"2025-07-16 11:15:05.9",32,"NAN",1
"2025-07-16 11:15:06.1",33,"NAN",2
"2025-07-16 11:15:07.3",34,"NAN",1
"2025-07-16 11:15:07.5",35,"NAN",2
"2025-07-16 11:15:08.5",36,"NAN",1
"2025-07-16 11:15:08.7",37,"NAN",2
"2025-07-16 11:15:12.5",38,"NAN",1
"2025-07-16 11:15:12.7",39,207.5,2
"2025-07-16 11:15:13.8",40,"NAN",1
"2025-07-16 11:15:14",41,"NAN",2
"2025-07-16 11:15:50",42,207.5,1
"2025-07-16 11:15:51",43,207.5,1
"2025-07-16 11:15:52",44,207.5,2
"2025-07-16 11:15:53",45,207.5,1
"2025-07-16 11:15:54",46,207.5,1
"2025-07-16 11:15:55",47,207.6,1
"2025-07-16 11:15:56",48,207.5,1
"2025-07-16 11:15:57",49,207.6,2
"2025-07-16 11:15:58",50,207.5,1
"2025-07-16 11:15:59",51,207.5,1
"2025-07-16 11:16:00",52,207.5,1
