"TOA5","exp","CR1000","63522","CR1000.Std.32.03","CPU:Exp_03.CR1","41229","Exp03"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","Rs","TP","Vs","termopar"
"TS","RN","","","","","",""
"","","Min","Smp","Smp","Smp","Smp","Smp"
"2025-06-04 08:26:33",0,12.95,22.7,0,0,0,0
"2025-06-04 08:26:34",1,12.95,22.73,105,12.99,20.89,10.4
"2025-06-04 08:26:35",2,12.95,22.7,105,12.99,20.89,10.35
"2025-06-04 08:26:36",3,12.95,22.73,105,12.99,20.89,10.32
"2025-06-04 08:26:37",4,12.95,22.73,105,12.9,20.88,10.27
"2025-06-04 08:26:38",5,12.95,22.73,104.9,12.81,20.87,10.27
"2025-06-04 08:26:39",6,12.95,22.73,104.9,12.72,20.87,10.27
"2025-06-04 08:26:40",7,12.95,22.73,104.9,12.81,20.87,10.18
"2025-06-04 08:26:41",8,12.95,22.73,104.9,12.64,20.86,10.1
"2025-06-04 08:26:42",9,12.95,22.73,104.9,12.72,20.87,10.1
"2025-06-04 08:26:43",10,12.95,22.7,104.9,12.72,20.87,10.01
"2025-06-04 08:26:44",11,12.95,22.73,104.9,12.64,20.86,9.98
"2025-06-04 08:26:45",12,12.95,22.73,104.8,12.55,20.85,9.93
"2025-06-04 08:26:46",13,12.95,22.73,104.8,12.55,20.85,9.93
"2025-06-04 08:26:47",14,12.95,22.73,104.8,12.46,20.85,9.93
"2025-06-04 08:26:48",15,12.95,22.7,104.8,12.46,20.85,9.84
"2025-06-04 08:26:49",16,12.95,22.7,104.8,12.37,20.84,9.73
"2025-06-04 08:26:50",17,12.95,22.73,104.8,12.37,20.84,9.73
"2025-06-04 08:26:51",18,12.95,22.73,104.8,12.37,20.84,9.76
"2025-06-04 08:26:52",19,12.95,22.73,104.7,12.28,20.83,9.76
"2025-06-04 08:26:53",20,12.95,22.73,104.7,12.28,20.83,9.76
"2025-06-04 08:26:54",21,12.95,22.73,104.7,12.28,20.83,9.59
"2025-06-04 08:26:55",22,12.95,22.73,104.7,12.19,20.82,9.59
"2025-06-04 08:26:56",23,12.95,22.73,104.7,12.19,20.82,9.59
"2025-06-04 08:26:57",24,12.95,22.73,104.7,12.1,20.82,9.59
"2025-06-04 08:26:58",25,12.95,22.73,104.7,12.1,20.82,9.59
"2025-06-04 08:26:59",26,12.95,22.73,104.7,12.1,20.82,9.51
"2025-06-04 08:27:00",27,12.95,22.73,104.7,12.1,20.82,9.42
"2025-06-04 08:27:01",28,12.94,22.7,104.6,12.02,20.81,9.42
"2025-06-04 08:27:02",29,12.95,22.73,104.6,12.02,20.81,9.39
"2025-06-04 08:27:03",30,12.95,22.73,104.6,12.02,20.81,9.42
"2025-06-04 08:27:04",31,12.95,22.73,104.6,11.93,20.8,9.42
"2025-06-04 08:27:05",32,12.94,22.7,104.6,11.84,20.8,9.34
"2025-06-04 08:27:06",33,12.95,22.73,104.6,11.93,20.8,9.23
"2025-06-04 08:27:07",34,12.94,22.73,104.6,11.84,20.8,9.26
"2025-06-04 08:27:08",35,12.94,22.73,104.6,11.84,20.8,9.26
"2025-06-04 08:27:09",36,12.94,22.73,104.5,11.75,20.79,9.26
"2025-06-04 08:27:10",37,12.94,22.7,104.5,11.75,20.79,9.17
"2025-06-04 08:27:11",38,12.94,22.73,104.5,11.66,20.78,9.23
"2025-06-04 08:27:12",39,12.94,22.73,104.5,11.66,20.78,9.17
"2025-06-04 08:27:13",40,12.94,22.73,104.5,11.57,20.78,9.09
"2025-06-04 08:27:14",41,12.94,22.73,104.5,11.57,20.78,9.09
"2025-06-04 08:27:15",42,12.94,22.7,104.5,11.57,20.78,9.09
"2025-06-04 08:27:16",43,12.94,22.7,104.5,11.57,20.78,9.06
