"TOA5","exp","CR1000","63522","CR1000.Std.32.03","CPU:exp04.CR1","29201","exp04"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","t_agua_Avg","t_terra_Avg"
"TS","RN","","","",""
"","","Min","Smp","Avg","Avg"
"2025-03-26 09:17:00",0,13.2,24.78,27.52,28.39
"2025-03-26 09:18:00",1,13.19,24.78,24.68,25.35
"2025-03-26 09:19:00",2,13.16,24.78,24.59,25.16
"2025-03-26 09:20:00",3,13.15,24.81,24.58,26.37
"2025-03-26 09:21:00",4,13.13,24.81,26.38,25.7
"2025-03-26 09:22:00",5,13.11,24.81,25.1,25.14
"2025-03-26 09:23:00",6,13.09,24.81,25.04,25.1
"2025-03-26 09:24:00",7,13.07,24.84,24.87,24.95
"2025-03-26 09:25:00",8,13.05,24.89,25.78,28.15
"2025-03-26 09:26:00",9,13.04,24.98,27.16,29.83
"2025-03-26 09:27:00",10,13.01,25.1,27.46,31.48
"2025-03-26 09:28:00",11,13,25.16,27.39,33.25
"2025-03-26 09:29:00",12,12.98,25.22,27.98,35.08
"2025-03-26 09:30:00",13,12.96,25.28,28.39,36.91
"2025-03-26 09:31:00",14,12.95,25.34,28.66,38.56
"2025-03-26 09:32:00",15,12.93,25.4,28.89,40.15
"2025-03-26 09:33:00",16,12.91,25.46,29.23,41.62
"2025-03-26 09:34:00",17,12.9,25.52,29.58,42.94
"2025-03-26 09:35:00",18,12.89,25.58,29.86,44.13
"2025-03-26 09:36:00",19,12.88,25.61,30.15,45.24
"2025-03-26 09:37:00",20,12.86,25.67,30.44,46.3
"2025-03-26 09:38:00",21,12.85,25.73,30.74,47.28
"2025-03-26 09:39:00",22,12.84,25.76,31.03,48.11
"2025-03-26 09:40:00",23,12.83,25.83,31.33,48.94
"2025-03-26 09:41:00",24,12.81,25.85,31.7,49.79
"2025-03-26 09:42:00",25,12.8,25.89,32.05,50.55
"2025-03-26 09:43:00",26,12.8,25.89,32.33,51.18
"2025-03-26 09:44:00",27,12.79,25.92,32.62,51.83
"2025-03-26 09:45:00",28,12.78,25.95,32.91,52.45
"2025-03-26 09:46:00",29,12.78,25.95,33.18,53.04
"2025-03-26 09:47:00",30,12.77,26.01,33.38,53.45
"2025-03-26 09:48:00",31,12.77,26.04,33.67,53.94
"2025-03-26 09:49:00",32,12.76,26.04,33.68,54.18
"2025-03-26 09:50:00",33,12.76,26.01,33.42,53.18
"2025-03-26 09:51:00",34,12.76,25.98,33.36,51.99
"2025-03-26 09:52:00",35,12.76,25.92,33.33,50.71
"2025-03-26 09:53:00",36,12.76,25.89,33.28,49.37
"2025-03-26 09:54:00",37,12.76,25.83,33.11,48
"2025-03-26 09:55:00",38,12.76,25.76,32.97,46.79
"2025-03-26 09:56:00",39,12.76,25.73,32.77,45.53
"2025-03-26 09:57:00",40,12.77,25.7,32.61,44.38
"2025-03-26 09:58:00",41,12.77,25.64,32.35,43.25
"2025-03-26 09:59:00",42,12.78,25.61,32.18,42.29
"2025-03-26 10:00:00",43,12.78,25.58,32.01,41.34
"2025-03-26 10:01:00",44,12.78,25.55,31.84,40.45
"2025-03-26 10:02:00",45,12.78,25.52,31.65,39.61
"2025-03-26 10:03:00",46,12.79,25.49,31.57,38.9
"2025-03-26 10:04:00",47,12.79,25.46,31.35,38.09
"2025-03-26 10:05:00",48,12.79,25.43,31.16,37.44
"2025-03-26 10:06:00",49,12.79,25.4,31.01,36.79
"2025-03-26 10:07:00",50,12.8,25.4,30.86,36.21
"2025-03-26 10:08:00",51,12.8,25.37,30.69,35.67
"2025-03-26 10:09:00",52,12.8,25.34,30.59,35.19
"2025-03-26 10:10:00",53,12.8,25.31,30.42,34.66
"2025-03-26 10:11:00",54,12.8,25.31,30.26,34.17
