"TOA5","exp","CR1000","63522","CR1000.Std.32.03","CPU:exp01ale.CR1","37353","exp01ale"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","t_terra","t_agua"
"TS","RN","","","",""
"","","Min","Smp","Smp","Smp"
"2025-08-25 08:58:02",0,12.79,18.48,14.84,17.7
"2025-08-25 08:58:03",1,12.79,18.46,14.79,17.66
"2025-08-25 08:58:04",2,12.79,18.46,14.77,17.63
"2025-08-25 08:58:05",3,12.79,18.46,14.79,17.59
"2025-08-25 08:58:06",4,12.79,18.46,14.76,17.59
"2025-08-25 08:58:07",5,12.79,18.46,14.75,17.59
"2025-08-25 08:58:08",6,12.8,18.46,14.73,17.58
"2025-08-25 08:58:09",7,12.79,18.46,14.72,17.56
"2025-08-25 08:58:10",8,12.8,18.46,14.69,17.55
"2025-08-25 08:58:11",9,12.8,18.46,14.72,17.52
"2025-08-25 08:58:12",10,12.8,18.46,14.69,17.53
"2025-08-25 08:58:13",11,12.8,18.46,14.7,17.53
"2025-08-25 08:58:14",12,12.8,18.46,14.66,17.51
"2025-08-25 08:58:15",13,12.8,18.46,14.67,17.51
"2025-08-25 08:58:16",14,12.8,18.46,14.66,17.52
"2025-08-25 08:58:17",15,12.8,18.46,14.65,17.49
"2025-08-25 08:58:18",16,12.8,18.46,14.62,17.5
"2025-08-25 08:58:19",17,12.79,18.46,14.61,17.51
"2025-08-25 08:58:20",18,12.79,18.46,14.63,17.5
"2025-08-25 08:58:21",19,12.79,18.46,14.66,17.54
"2025-08-25 08:58:22",20,12.79,18.46,14.67,17.55
"2025-08-25 08:58:23",21,12.79,18.46,14.69,17.56
"2025-08-25 08:58:24",22,12.8,18.46,14.7,17.56
"2025-08-25 08:58:25",23,12.8,18.46,14.75,17.58
"2025-08-25 08:58:26",24,12.79,18.46,14.76,17.6
"2025-08-25 08:58:27",25,12.79,18.46,14.79,17.63
"2025-08-25 08:58:28",26,12.79,18.46,14.78,17.64
"2025-08-25 08:58:29",27,12.8,18.46,14.8,17.68
"2025-08-25 08:58:30",28,12.8,18.46,14.83,17.64
"2025-08-25 08:58:31",29,12.8,18.46,14.82,17.68
"2025-08-25 08:58:32",30,12.8,18.46,14.86,17.71
"2025-08-25 08:58:33",31,12.8,18.46,14.89,17.71
"2025-08-25 08:58:34",32,12.8,18.46,14.9,17.73
"2025-08-25 08:58:35",33,12.8,18.46,14.89,17.75
"2025-08-25 08:58:36",34,12.8,18.46,14.93,17.73
"2025-08-25 08:58:37",35,12.79,18.46,14.88,17.71
"2025-08-25 08:58:38",36,12.8,18.46,14.9,17.71
"2025-08-25 08:58:39",37,12.8,18.46,14.91,17.72
"2025-08-25 08:58:40",38,12.8,18.46,14.91,17.73
"2025-08-25 08:58:41",39,12.8,18.46,14.92,17.7
"2025-08-25 08:58:42",40,12.8,18.46,14.91,17.7
"2025-08-25 08:58:43",41,12.79,18.46,14.95,17.68
"2025-08-25 08:58:44",42,12.8,18.46,14.93,17.71
"2025-08-25 08:58:45",43,12.8,18.46,14.95,17.7
"2025-08-25 08:58:46",44,12.8,18.46,14.94,17.71
"2025-08-25 08:58:47",45,12.8,18.46,14.94,17.7
"2025-08-25 08:58:48",46,12.8,18.46,14.93,17.7
"2025-08-25 08:58:49",47,12.79,18.46,14.93,17.71
"2025-08-25 08:58:50",48,12.8,18.46,14.91,17.72
"2025-08-25 08:58:51",49,12.8,18.46,14.9,17.67
"2025-08-25 08:58:52",50,12.79,18.46,14.86,17.67
"2025-08-25 08:58:53",51,12.79,18.46,14.86,17.66
"2025-08-25 08:58:54",52,12.8,18.46,14.82,17.63
"2025-08-25 08:58:55",53,12.79,18.46,14.79,17.65
"2025-08-25 08:58:56",54,12.79,18.46,14.8,17.63
"2025-08-25 08:58:57",55,12.79,18.46,14.8,17.62
"2025-08-25 08:58:58",56,12.8,18.46,14.81,17.6
"2025-08-25 08:58:59",57,12.8,18.46,14.8,17.63
"2025-08-25 08:59:00",58,12.8,18.46,14.81,17.62
"2025-08-25 08:59:01",59,12.8,18.46,14.86,17.62
"2025-08-25 08:59:02",60,12.8,18.46,14.84,17.62
"2025-08-25 08:59:03",61,12.79,18.46,14.87,17.66
"2025-08-25 08:59:04",62,12.8,18.46,14.88,17.65
"2025-08-25 08:59:05",63,12.8,18.46,14.9,17.63
"2025-08-25 08:59:06",64,12.8,18.46,14.9,17.63
"2025-08-25 08:59:07",65,12.8,18.46,14.9,17.65
"2025-08-25 08:59:08",66,12.8,18.46,14.92,17.63
"2025-08-25 08:59:09",67,12.8,18.46,14.93,17.67
"2025-08-25 08:59:10",68,12.8,18.46,14.95,17.67
"2025-08-25 08:59:11",69,12.8,18.46,14.96,17.68
"2025-08-25 08:59:12",70,12.8,18.46,14.95,17.68
"2025-08-25 08:59:13",71,12.8,18.43,14.94,17.64
"2025-08-25 08:59:14",72,12.8,18.46,14.96,17.68
"2025-08-25 08:59:15",73,12.8,18.46,15,17.68
"2025-08-25 08:59:16",74,12.8,18.46,14.98,17.71
"2025-08-25 08:59:17",75,12.8,18.43,14.95,17.68
"2025-08-25 08:59:18",76,12.8,18.43,14.95,17.68
"2025-08-25 08:59:19",77,12.8,18.43,14.95,17.7
"2025-08-25 08:59:20",78,12.8,18.43,14.95,17.68
"2025-08-25 08:59:21",79,12.8,18.43,14.95,17.67
"2025-08-25 08:59:22",80,12.8,18.43,14.94,17.67
"2025-08-25 08:59:23",81,12.79,18.43,14.94,17.64
"2025-08-25 08:59:24",82,12.8,18.43,14.91,17.65
"2025-08-25 08:59:25",83,12.79,18.43,14.89,17.64
"2025-08-25 08:59:26",84,12.8,18.43,14.89,17.64
"2025-08-25 08:59:27",85,12.8,18.43,14.87,17.6
"2025-08-25 08:59:28",86,12.8,18.43,14.85,17.58
"2025-08-25 08:59:29",87,12.8,18.43,14.84,17.57
"2025-08-25 08:59:30",88,12.79,18.43,14.83,17.57
"2025-08-25 08:59:31",89,12.8,18.43,14.81,17.54
"2025-08-25 08:59:32",90,12.8,18.43,14.81,17.53
"2025-08-25 08:59:33",91,12.79,18.43,14.79,17.52
"2025-08-25 08:59:34",92,12.79,18.43,14.75,17.48
"2025-08-25 08:59:35",93,12.8,18.43,14.77,17.5
"2025-08-25 08:59:36",94,12.8,18.43,14.76,17.48
"2025-08-25 08:59:37",95,12.8,18.43,14.74,17.48
"2025-08-25 08:59:38",96,12.79,18.43,14.74,17.51
"2025-08-25 08:59:39",97,12.8,18.43,14.75,17.52
"2025-08-25 08:59:40",98,12.79,18.43,14.77,17.5
"2025-08-25 08:59:41",99,12.8,18.43,14.79,17.53
"2025-08-25 08:59:42",100,12.79,18.43,14.8,17.53
"2025-08-25 08:59:43",101,12.8,18.43,14.78,17.53
"2025-08-25 08:59:44",102,12.79,18.43,14.79,17.5
"2025-08-25 08:59:45",103,12.79,18.43,14.78,17.51
"2025-08-25 08:59:46",104,12.79,18.43,14.79,17.47
"2025-08-25 08:59:47",105,12.79,18.43,14.79,17.48
"2025-08-25 08:59:48",106,12.8,18.43,14.79,17.48
"2025-08-25 08:59:49",107,12.8,18.43,14.82,17.47
"2025-08-25 08:59:50",108,12.79,18.43,14.79,17.5
"2025-08-25 08:59:51",109,12.8,18.43,14.79,17.47
"2025-08-25 08:59:52",110,12.79,18.43,14.79,17.46
"2025-08-25 08:59:53",111,12.8,18.43,14.79,17.45
"2025-08-25 08:59:54",112,12.8,18.43,14.77,17.47
"2025-08-25 08:59:55",113,12.8,18.43,14.75,17.47
"2025-08-25 08:59:56",114,12.79,18.43,14.77,17.43
"2025-08-25 08:59:57",115,12.79,18.43,14.76,17.42
"2025-08-25 08:59:58",116,12.79,18.43,14.75,17.41
"2025-08-25 08:59:59",117,12.79,18.43,14.76,17.41
"2025-08-25 09:00:00",118,12.8,18.43,14.73,17.39
"2025-08-25 09:00:01",119,12.8,18.43,14.72,17.36
"2025-08-25 09:00:02",120,12.79,18.43,14.71,17.38
"2025-08-25 09:00:03",121,12.79,18.43,14.7,17.38
"2025-08-25 09:00:04",122,12.8,18.43,14.7,17.4
"2025-08-25 09:00:05",123,12.79,18.43,14.71,17.37
"2025-08-25 09:00:06",124,12.8,18.43,14.69,17.37
"2025-08-25 09:00:07",125,12.79,18.43,14.69,17.37
"2025-08-25 09:00:08",126,12.8,18.43,14.69,17.38
"2025-08-25 09:00:09",127,12.79,18.43,14.69,17.37
"2025-08-25 09:00:10",128,12.79,18.43,14.69,17.36
"2025-08-25 09:00:11",129,12.79,18.43,14.69,17.36
"2025-08-25 09:00:12",130,12.79,18.43,14.69,17.36
"2025-08-25 09:00:13",131,12.79,18.43,14.68,17.35
"2025-08-25 09:00:14",132,12.79,18.43,14.67,17.36
"2025-08-25 09:00:15",133,12.79,18.43,14.65,17.37
"2025-08-25 09:00:16",134,12.8,18.43,14.65,17.37
"2025-08-25 09:00:17",135,12.8,18.43,14.69,17.38
"2025-08-25 09:00:18",136,12.79,18.43,14.71,17.39
"2025-08-25 09:00:19",137,12.79,18.43,14.75,17.41
"2025-08-25 09:00:20",138,12.79,18.43,14.75,17.42
"2025-08-25 09:00:21",139,12.8,18.43,14.77,17.44
"2025-08-25 09:00:22",140,12.79,18.43,14.77,17.44
"2025-08-25 09:00:23",141,12.79,18.43,14.79,17.45
"2025-08-25 09:00:24",142,12.79,18.43,14.83,17.46
"2025-08-25 09:00:25",143,12.79,18.43,14.85,17.48
"2025-08-25 09:00:26",144,12.79,18.43,14.86,17.5
"2025-08-25 09:00:27",145,12.79,18.43,14.88,17.53
"2025-08-25 09:00:28",146,12.79,18.43,14.9,17.55
"2025-08-25 09:00:29",147,12.8,18.43,14.9,17.56
"2025-08-25 09:00:30",148,12.79,18.43,14.93,17.58
"2025-08-25 09:00:31",149,12.79,18.43,14.95,17.58
"2025-08-25 09:00:32",150,12.79,18.43,14.96,17.58
"2025-08-25 09:00:33",151,12.79,18.43,14.95,17.59
"2025-08-25 09:00:34",152,12.79,18.43,14.95,17.6
"2025-08-25 09:00:35",153,12.79,18.43,14.97,17.58
"2025-08-25 09:00:36",154,12.79,18.43,14.97,17.58
"2025-08-25 09:00:37",155,12.8,18.43,14.96,17.58
"2025-08-25 09:00:38",156,12.79,18.43,14.97,17.57
"2025-08-25 09:00:39",157,12.79,18.43,14.95,17.58
"2025-08-25 09:00:40",158,12.79,18.43,15,17.63
"2025-08-25 09:00:41",159,12.79,18.43,15,17.62
"2025-08-25 09:00:42",160,12.79,18.43,15.02,17.63
"2025-08-25 09:00:43",161,12.79,18.43,15.01,17.62
"2025-08-25 09:00:44",162,12.79,18.43,15.04,17.61
"2025-08-25 09:00:45",163,12.79,18.43,14.98,17.58
"2025-08-25 09:00:46",164,12.79,18.43,15.01,17.59
"2025-08-25 09:00:47",165,12.79,18.43,14.96,17.54
"2025-08-25 09:00:48",166,12.79,18.43,14.97,17.54
"2025-08-25 09:00:49",167,12.79,18.43,14.97,17.53
"2025-08-25 09:00:50",168,12.8,18.43,14.95,17.49
"2025-08-25 09:00:51",169,12.79,18.43,14.95,17.52
"2025-08-25 09:00:52",170,12.8,18.43,14.97,17.52
"2025-08-25 09:00:53",171,12.8,18.43,14.97,17.55
"2025-08-25 09:00:54",172,12.79,18.43,15.01,17.54
"2025-08-25 09:00:55",173,12.79,18.43,15,17.54
"2025-08-25 09:00:56",174,12.79,18.43,15,17.55
"2025-08-25 09:00:57",175,12.79,18.43,15.01,17.53
"2025-08-25 09:00:58",176,12.79,18.43,15.04,17.57
"2025-08-25 09:00:59",177,12.8,18.43,15.01,17.58
"2025-08-25 09:01:00",178,12.8,18.43,15.04,17.61
"2025-08-25 09:01:01",179,12.8,18.43,15.03,17.61
"2025-08-25 09:01:02",180,12.79,18.43,15.01,17.59
"2025-08-25 09:01:03",181,12.79,18.43,15.03,17.61
"2025-08-25 09:01:04",182,12.79,18.43,15.03,17.63
"2025-08-25 09:01:05",183,12.79,18.43,15.05,17.61
"2025-08-25 09:01:06",184,12.79,18.43,15.05,17.62
