"TOA5","ifsclim01","CR1000","63522","CR1000.Std.32.03","CPU:Exp04.CR1","7137","Peso"
"TIMESTAMP","RECORD","massaP","t"
"TS","RN","",""
"","","Smp","Smp"
"2019-05-13 07:47:51",0,3135,237
"2019-05-13 07:48:10",1,3143,19
"2019-05-13 07:48:25",2,3149,15
"2019-05-13 07:48:43",3,3156,18
"2019-05-13 07:48:56",4,3161,13
"2019-05-13 07:49:14",5,3168,18
"2019-05-13 07:49:28",6,3173,14
"2019-05-13 07:49:47",7,3181,19
"2019-05-13 07:50:00",8,3186,13
"2019-05-13 07:50:18",9,3193,18
"2019-05-13 07:50:32",10,3199,14
"2019-05-13 07:50:50",11,3206,18
"2019-05-13 07:51:03",12,3211,13
"2019-05-13 07:51:21",13,3218,18
"2019-05-13 07:51:34",14,3223,13
"2019-05-13 07:51:53",15,3230,19
"2019-05-13 07:52:06",16,3236,13
"2019-05-13 07:52:25",17,3243,19
"2019-05-13 07:52:38",18,3248,13
"2019-05-13 07:52:56",19,3255,18
"2019-05-13 07:53:09",20,3260,13
"2019-05-13 08:04:58",21,2805,709
"2019-05-13 08:08:37",22,3285,219
"2019-05-13 08:08:51",23,3288,14
"2019-05-13 08:09:07",24,3296,16
"2019-05-13 08:09:22",25,3306,15
"2019-05-13 08:09:38",26,3315,16
"2019-05-13 08:09:52",27,3320,14
"2019-05-13 08:10:08",28,3327,16
"2019-05-13 08:10:23",29,3332,15
"2019-05-13 08:10:37",30,3340,14
"2019-05-13 08:10:52",31,3341,15
"2019-05-13 08:11:07",32,3350,15
"2019-05-13 08:11:21",33,3355,14
"2019-05-13 08:11:36",34,3361,15
"2019-05-13 08:11:50",35,3366,14
"2019-05-13 08:12:05",36,3370,15
"2019-05-13 08:12:20",37,3376,15
"2019-05-13 08:12:35",38,3384,15
"2019-05-13 08:12:50",39,3390,15
"2019-05-13 08:13:05",40,3395,15
"2019-05-13 08:13:20",41,3403,15
"2019-05-13 08:13:34",42,3408,14
"2019-05-13 08:13:50",43,3416,16
"2019-05-13 08:14:05",44,3424,15
"2019-05-13 08:14:20",45,3426,15
"2019-05-13 08:14:35",46,3432,15
"2019-05-13 08:14:51",47,3438,16
"2019-05-13 08:15:05",48,3446,14
"2019-05-13 08:15:20",49,3453,15
"2019-05-13 08:15:35",50,3461,15
"2019-05-13 08:15:50",51,3466,15
"2019-05-13 08:16:04",52,3472,14
"2019-05-13 08:16:19",53,3478,15
"2019-05-13 08:16:33",54,3482,14
"2019-05-13 08:16:48",55,3488,15
"2019-05-13 08:17:03",56,3494,15
"2019-05-13 08:17:18",57,3499,15
"2019-05-13 08:17:33",58,3506,15
"2019-05-13 08:17:48",59,3513,15
"2019-05-13 08:18:03",60,3515,15
